_id,index,stageIds,gameId,createdAt,data.target,data.targetNum,data.repNum,data.trialNum,data.chat,data.countCorrect,data.speaker,data.submitted,data.player_TmGhWCgqKsPPuwW7m_response,data.player_TmGhWCgqKsPPuwW7m_correct,data.player_TmGhWCgqKsPPuwW7m_time,data.player_XzSxf5dbkTQbAySyn_response,data.player_XzSxf5dbkTQbAySyn_correct,data.player_XzSxf5dbkTQbAySyn_time,data.player_Y4gBWfBNJrF5xNnYa_response,data.player_Y4gBWfBNJrF5xNnYa_correct,data.player_Y4gBWfBNJrF5xNnYa_time,data.player_MpfyeqPHi6LGanyZE_response,data.player_MpfyeqPHi6LGanyZE_correct,data.player_MpfyeqPHi6LGanyZE_time,data.player_XDYMpEW48uEDY2AKT_response,data.player_XDYMpEW48uEDY2AKT_correct,data.player_XDYMpEW48uEDY2AKT_time,data.player_zsCocJ4gY757WdtRm_response,data.player_zsCocJ4gY757WdtRm_correct,data.player_zsCocJ4gY757WdtRm_time,data.player_fpQSfDkFQquyZPeeY_response,data.player_fpQSfDkFQquyZPeeY_correct,data.player_fpQSfDkFQquyZPeeY_time,data.player_g47HoPgY7BZ5yiSNH_response,data.player_g47HoPgY7BZ5yiSNH_correct,data.player_g47HoPgY7BZ5yiSNH_time,data.player_vGWQMSpu3DC2q39SP_response,data.player_vGWQMSpu3DC2q39SP_correct,data.player_vGWQMSpu3DC2q39SP_time,data.player_TaXnEbLjRk5BHEtKS_response,data.player_TaXnEbLjRk5BHEtKS_correct,data.player_TaXnEbLjRk5BHEtKS_time,data.player_hPCE2W2nsW737JfLM_response,data.player_hPCE2W2nsW737JfLM_correct,data.player_hPCE2W2nsW737JfLM_time,data.player_unq6bmWt24ozszLHq_response,data.player_unq6bmWt24ozszLHq_correct,data.player_unq6bmWt24ozszLHq_time,data.player_NDxDF3jtu4GsxE6Ka_response,data.player_NDxDF3jtu4GsxE6Ka_correct,data.player_NDxDF3jtu4GsxE6Ka_time,data.player_TcSFd2e7jR4nEmwgk_response,data.player_TcSFd2e7jR4nEmwgk_correct,data.player_TcSFd2e7jR4nEmwgk_time,data.player_qFRcN5H2Wh32P5CXo_response,data.player_qFRcN5H2Wh32P5CXo_correct,data.player_qFRcN5H2Wh32P5CXo_time,data.player_XfPenstnRyoSskufp_response,data.player_XfPenstnRyoSskufp_correct,data.player_XfPenstnRyoSskufp_time,data.player_fSMHCA2X7sKM5kb39_response,data.player_fSMHCA2X7sKM5kb39_correct,data.player_fSMHCA2X7sKM5kb39_time,data.player_whYPsCAALJKsn3n2g_response,data.player_whYPsCAALJKsn3n2g_correct,data.player_whYPsCAALJKsn3n2g_time
5D4wy6rk9qKbiM5Yp,0,"MW7d2EbPWrDvyFJW2,BygjiM3rNtti9ndCk",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_L.png,0,0,0,"{""text"":""looks like they are pointing to the right"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_L.png"",""role"":""speaker""},{""text"":""Does it have an upwards pointing tail?"",""playerId"":""TmGhWCgqKsPPuwW7m"",""target"":""/experiment/tangram_L.png"",""role"":""listener""},{""text"":""no, it looks like it is crouching"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_L.png"",""role"":""speaker""},{""text"":""with its legs pointing backwards"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_L.png"",""role"":""speaker""},{""text"":""both arms are point right?"",""playerId"":""Y4gBWfBNJrF5xNnYa"",""target"":""/experiment/tangram_L.png"",""role"":""listener""},{""text"":""you can only see one arm so yeah"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_L.png"",""role"":""speaker""},{""text"":""Ok, I think I got it"",""playerId"":""Y4gBWfBNJrF5xNnYa"",""target"":""/experiment/tangram_L.png"",""role"":""listener""},{""text"":""looks a bit like somebody crouching down to pray or read"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_L.png"",""role"":""speaker""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_L.png,true,91871,false,false,false,/experiment/tangram_L.png,true,158195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
osdCX4iTHTm7Y5Dt4,1,"MBRCKbWEtBGaNMa2W,9JQggmyDCHuiTukss",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_K.png,1,0,1,"{""text"":""so its arm is pointing the same way"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_K.png"",""role"":""speaker""},{""text"":""it looks similar to last time except it has a tail pointing up"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_K.png"",""role"":""speaker""},{""text"":"";)"",""playerId"":""TmGhWCgqKsPPuwW7m"",""target"":""/experiment/tangram_K.png"",""role"":""listener""},{""text"":""Ok, got it ;)"",""playerId"":""Y4gBWfBNJrF5xNnYa"",""target"":""/experiment/tangram_K.png"",""role"":""listener""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_K.png,true,46294,false,false,false,/experiment/tangram_K.png,true,59941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sT7feDzCXYPwjCf8h,2,"enmCKpA4LAz4Yz8F7,TQuQtWmGvjo9eoKga",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_I.png,2,0,2,"{""text"":""so this looks like a figure skater"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_I.png"",""role"":""speaker""},{""text"":""it has a leg pointing out behind it"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_I.png"",""role"":""speaker""},{""text"":""at a right angle"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_I.png"",""role"":""speaker""},{""text"":""2 arms pointing to the left?"",""playerId"":""TmGhWCgqKsPPuwW7m"",""target"":""/experiment/tangram_I.png"",""role"":""listener""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_I.png,true,66853,false,false,false,/experiment/tangram_I.png,true,33591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMQCE4EzhYt2h9wbR,3,"MtHMMKdNehRPJ9sfm,zybT5ftm7g6Mr8qbt",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_F.png,3,0,3,"{""text"":""sorry"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_F.png"",""role"":""speaker""},{""text"":""ok so they are sat down"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_F.png"",""role"":""speaker""},{""text"":""with their legs pointing to the left"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_F.png"",""role"":""speaker""},{""text"":""looks like they are doing a sit up"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_F.png"",""role"":""speaker""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_F.png,true,52301,false,false,false,/experiment/tangram_F.png,true,37446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bHLpx4ZXFfF3dg4is,4,"W9mdy26Sko9WuLJob,BRwG6ePf6edzHqszX",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_J.png,4,0,4,"{""text"":""this one is really box shaped"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_J.png"",""role"":""speaker""},{""text"":""small arm pointing to right"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_J.png"",""role"":""speaker""},{""text"":""completely flat back"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_J.png"",""role"":""speaker""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_J.png,true,27975,false,false,false,/experiment/tangram_J.png,true,53245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vNwhypzjzNT75Jd8i,5,"gWrieEutn5tnov2mj,3bBrLBu2WXs5vgKKk",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_D.png,5,0,5,"{""text"":""hands and looks like a sleeve pointing left"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_D.png"",""role"":""speaker""},{""text"":""completely flat back again on the right"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_D.png"",""role"":""speaker""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_D.png,true,36387,false,false,false,/experiment/tangram_D.png,true,42698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4SHRJjWJn2uoTck3,6,"kRqTmWtvKjPhnjddr,hhrpCoMaaLcgWCQzn",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_E.png,6,0,6,"{""text"":""this has its legs pointing right, its sat down, and has two pointing things from its head"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_E.png"",""role"":""speaker""},{""text"":""its body is triangle shaped"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_E.png"",""role"":""speaker""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_E.png,true,49859,false,false,false,/experiment/tangram_E.png,true,37676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aPzDjpNzCPehyf7JJ,7,"YTuj7Xq3hniBd7KRB,tvgBMDEzYKRh4MPpZ",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_A.png,7,0,7,"{""text"":""so they are stood up, both feet pointing left and one leg is raised"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_A.png"",""role"":""speaker""},{""text"":""head is tilted back to the right"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_A.png"",""role"":""speaker""},{""text"":""arms are up, like frankenstein"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_A.png"",""role"":""speaker""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_A.png,true,49176,false,false,false,/experiment/tangram_A.png,true,24354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L5fZHWop3pFEfw74j,8,"2KE92NuALuuByDJ9W,vk8H4DwyoqojBRLFR",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_G.png,8,0,8,"{""text"":""arms and legs to the right, looks like its walking dramatically"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_G.png"",""role"":""speaker""},{""text"":""has a long tale out to the left"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_G.png"",""role"":""speaker""},{""text"":""tail"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_G.png"",""role"":""speaker""},{""text"":""like a robe"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_G.png"",""role"":""speaker""},{""text"":""so no arm to the left?"",""playerId"":""TmGhWCgqKsPPuwW7m"",""target"":""/experiment/tangram_G.png"",""role"":""listener""},{""text"":""no"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_G.png"",""role"":""speaker""},{""text"":""head tilted back to left"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_G.png"",""role"":""speaker""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_G.png,true,62425,false,false,false,/experiment/tangram_G.png,true,35492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uWrzgJrFwdMrPEiTz,9,"uxxq2YwhqGcCcPidn,yn2ahBvvEgZmpYChf",3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,/experiment/tangram_C.png,9,0,9,"{""text"":""has its arms raised above its head"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_C.png"",""role"":""speaker""},{""text"":""no legs at all"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_C.png"",""role"":""speaker""},{""text"":""looks like he is complaining?"",""playerId"":""TmGhWCgqKsPPuwW7m"",""target"":""/experiment/tangram_C.png"",""role"":""listener""},{""text"":""yeah"",""playerId"":""XzSxf5dbkTQbAySyn"",""target"":""/experiment/tangram_C.png"",""role"":""speaker""}",2,XzSxf5dbkTQbAySyn,true,/experiment/tangram_C.png,true,57126,false,false,false,/experiment/tangram_C.png,true,30107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
