_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
7BRBNYFq5wz29N5pS,1,simple,false,2021-05-04T21:31:21Z,,cancelled,,6gKZ3FpLTNPQgXfRX,2021-05-04T21:31:20Z,2021-05-07T21:40:14Z
R4bXfLeosvq3jx7Ya,2,simple,true,2021-05-04T21:32:46Z,2021-05-04T23:03:43Z,finished,,3WzEi9zkHF77vdTw5,2021-05-04T21:32:37Z,2021-05-07T21:40:17Z
8rmL2jDD43hTwpZur,3,simple,true,2021-05-04T21:32:47Z,2021-05-04T22:35:51Z,finished,,rSMFkjhskBteiyQMB,2021-05-04T21:32:38Z,2021-05-07T21:40:18Z
E2jgKD6bbgC8YgLZx,4,simple,true,2021-05-04T21:32:48Z,2021-05-04T22:35:24Z,finished,,cA2SjWv3CePYZgyzS,2021-05-04T21:32:39Z,2021-05-07T21:40:18Z
S4Xc69PT9zQvvw62C,5,simple,true,2021-05-04T21:32:48Z,2021-05-04T21:58:05Z,finished,,uYwPJ3ZYGiwESZAfi,2021-05-04T21:32:42Z,2021-05-07T21:40:18Z
toRvkaGdY7yJSjiGj,6,simple,true,2021-05-04T21:32:49Z,2021-05-04T22:09:21Z,finished,,tomMTi5jNoQaGQPJ7,2021-05-04T21:32:44Z,2021-05-07T21:40:19Z
mxJmyPwwg8XLNE5ZJ,7,simple,true,2021-05-04T22:27:17Z,2021-05-04T23:33:44Z,finished,,BXWWg9XvCErxTpT9k,2021-05-04T22:27:09Z,2021-05-07T21:40:19Z
XyyJSA3kkuWGyzLDS,8,simple,true,2021-05-04T22:27:57Z,2021-05-04T23:03:55Z,finished,,chRW4susctefk2ocJ,2021-05-04T22:27:55Z,2021-05-07T21:40:19Z
LPt6AgX8z5FGk4SN4,9,simple,false,2021-05-07T16:35:14Z,,cancelled,,3BuJRsQsTtN8oZQsg,2021-05-07T16:35:12Z,2021-05-07T21:40:15Z
ngH7PvvkzcMhWedsw,10,simple,false,2021-05-07T16:37:38Z,,cancelled,,L7HQFLPMzSksZLqun,2021-05-07T16:37:36Z,2021-05-07T21:40:16Z
Wa662qQ4pgGrXg2bF,11,simple,true,2021-05-07T16:41:55Z,2021-05-07T17:42:33Z,finished,,52Z92z3wj7TxhCe3X,2021-05-07T16:39:34Z,2021-05-07T21:40:20Z
YF7Qkpacf8M2xhNaA,12,simple,true,2021-05-07T16:41:56Z,2021-05-07T17:44:22Z,finished,,s6otPQjvqhmf7yfRD,2021-05-07T16:39:36Z,2021-05-07T21:40:20Z
aQCsXi9K9EDhSwgBZ,13,simple,true,2021-05-07T16:41:57Z,2021-05-07T17:20:03Z,finished,,FfK5QXXSw833vwHKX,2021-05-07T16:39:37Z,2021-05-07T21:40:20Z
dqZASMdBSxyRTWYvs,14,simple,true,2021-05-07T16:41:58Z,2021-05-07T17:59:15Z,finished,,sijMDqp4oocvXG8Sv,2021-05-07T16:39:37Z,2021-05-07T21:40:20Z
rj47AeMXCNwGYLcAQ,15,simple,true,2021-05-07T16:43:57Z,2021-05-07T17:30:07Z,finished,,2928FF7GcrkeFiDkh,2021-05-07T16:39:38Z,2021-05-07T21:40:20Z
imSdzTRB6a6HgxpFd,16,simple,true,2021-05-07T16:43:58Z,2021-05-07T18:10:27Z,finished,,NEo4TpvQSgpf5jZNx,2021-05-07T16:39:39Z,2021-05-07T21:40:21Z
SQGWEvwsMABSkfA57,17,simple,true,2021-05-07T16:44:00Z,2021-05-07T17:24:17Z,finished,,PKYzs5Gc96YRujrYv,2021-05-07T16:39:49Z,2021-05-07T21:40:21Z
pSRZZvFCNQDSEDNCE,18,simple,true,2021-05-07T16:44:01Z,2021-05-07T17:30:05Z,finished,,gjooqsuf2CPN5AWxi,2021-05-07T16:39:50Z,2021-05-07T21:40:21Z
G7XSFav9FYh6T4G2n,19,simple,true,2021-05-07T16:44:02Z,2021-05-07T18:24:58Z,finished,,8SNDsZXxLcR8895Lq,2021-05-07T16:39:51Z,2021-05-07T21:40:22Z
