_id,index,availableCount,timeoutStartedAt,timedOutAt,queuedPlayerIds,playerIds,gameId,treatmentId,batchId,lobbyConfigId,createdAt
6gKZ3FpLTNPQgXfRX,0,4,,,PsNjCFmpvW5ZnQGSp,,,KDHbktbpvGdPYsfm2,7BRBNYFq5wz29N5pS,6wPt7SHGPMGDdeyFn,2021-05-04T21:31:20Z
3WzEi9zkHF77vdTw5,0,4,2021-05-04T21:41:08Z,,"wXsGgzkQgoofFhxwk,Ny67T7moyZtBkbaQu,hv4nKRCaDiRgPQjY4,ZGADNAezcCdtejsh5,qZYMtuyj2SBfZk8XH,mkhYKwKp8pGe66aA7,ieBYKaxXNCy2QcwJj,PzsrjpFbCRkuAMq8B,FkmWby4JDC5Ds6TKe,dFkk3wgdjCBA47vmZ,KDECwB9Cikjj7ZsE9,ZvhRyXkvKz6ES5HwX,FuKRTpPq47oswB26J,HdKK2ktAX4RmvJwZk,o7s7B6kZLqvaG62N4,MG4yxBPQTjayiXepJ","hv4nKRCaDiRgPQjY4,wXsGgzkQgoofFhxwk,qZYMtuyj2SBfZk8XH,ieBYKaxXNCy2QcwJj",3WzEi9zkHF77vdTw5,KDHbktbpvGdPYsfm2,R4bXfLeosvq3jx7Ya,6wPt7SHGPMGDdeyFn,2021-05-04T21:32:37Z
rSMFkjhskBteiyQMB,0,4,2021-05-04T21:46:50Z,,"Ny67T7moyZtBkbaQu,ZGADNAezcCdtejsh5,mkhYKwKp8pGe66aA7,PzsrjpFbCRkuAMq8B,FkmWby4JDC5Ds6TKe,dFkk3wgdjCBA47vmZ,KDECwB9Cikjj7ZsE9,ZvhRyXkvKz6ES5HwX,FuKRTpPq47oswB26J,HdKK2ktAX4RmvJwZk,o7s7B6kZLqvaG62N4,MG4yxBPQTjayiXepJ,HqyHHokWZEzaNafoJ,YTp5m25vv9sEqvrjA,4arBpABWukfXXWoXu","ZGADNAezcCdtejsh5,PzsrjpFbCRkuAMq8B,ZvhRyXkvKz6ES5HwX,o7s7B6kZLqvaG62N4",rSMFkjhskBteiyQMB,KDHbktbpvGdPYsfm2,8rmL2jDD43hTwpZur,6wPt7SHGPMGDdeyFn,2021-05-04T21:32:39Z
cA2SjWv3CePYZgyzS,0,4,2021-05-04T21:49:07Z,,"Ny67T7moyZtBkbaQu,mkhYKwKp8pGe66aA7,FkmWby4JDC5Ds6TKe,dFkk3wgdjCBA47vmZ,KDECwB9Cikjj7ZsE9,FuKRTpPq47oswB26J,HdKK2ktAX4RmvJwZk,MG4yxBPQTjayiXepJ,HqyHHokWZEzaNafoJ,YTp5m25vv9sEqvrjA,4arBpABWukfXXWoXu,Sm8CRTSYDmgimu564,tu7h5gBhgzwA6ttCD","HqyHHokWZEzaNafoJ,KDECwB9Cikjj7ZsE9,HdKK2ktAX4RmvJwZk,tu7h5gBhgzwA6ttCD",cA2SjWv3CePYZgyzS,KDHbktbpvGdPYsfm2,E2jgKD6bbgC8YgLZx,6wPt7SHGPMGDdeyFn,2021-05-04T21:32:39Z
uYwPJ3ZYGiwESZAfi,0,4,2021-05-04T21:53:04Z,2021-05-04T21:58:05Z,"Ny67T7moyZtBkbaQu,mkhYKwKp8pGe66aA7,FkmWby4JDC5Ds6TKe,dFkk3wgdjCBA47vmZ,FuKRTpPq47oswB26J,MG4yxBPQTjayiXepJ,YTp5m25vv9sEqvrjA,4arBpABWukfXXWoXu,Sm8CRTSYDmgimu564,Jnzn2WxRdxajksRBK","Sm8CRTSYDmgimu564,4arBpABWukfXXWoXu",,KDHbktbpvGdPYsfm2,S4Xc69PT9zQvvw62C,6wPt7SHGPMGDdeyFn,2021-05-04T21:32:42Z
tomMTi5jNoQaGQPJ7,0,4,2021-05-04T22:04:21Z,2021-05-04T22:09:21Z,"p87hZxe7LKBWqQz5N,brTAmjiAb3dprG5ZY,AagpJQvoomCXHhTer,KzzLAwFxCuffH4w5G",brTAmjiAb3dprG5ZY,,KDHbktbpvGdPYsfm2,toRvkaGdY7yJSjiGj,6wPt7SHGPMGDdeyFn,2021-05-04T21:32:44Z
BXWWg9XvCErxTpT9k,0,4,2021-05-04T22:36:43Z,,"7bo7QddYpdP8EBeKj,BHm7hWNhNRnqXSyJX,2Rs4BqzSBpqDh2fpP,c9T7t2RNEHdtaipbh,zCbCmGCQgyBEZueTS,FzbGtMkbEZkg6xLHp","2Rs4BqzSBpqDh2fpP,BHm7hWNhNRnqXSyJX,c9T7t2RNEHdtaipbh,FzbGtMkbEZkg6xLHp",BXWWg9XvCErxTpT9k,KDHbktbpvGdPYsfm2,mxJmyPwwg8XLNE5ZJ,6wPt7SHGPMGDdeyFn,2021-05-04T22:27:09Z
chRW4susctefk2ocJ,0,4,2021-05-04T22:58:54Z,2021-05-04T23:03:54Z,"7bo7QddYpdP8EBeKj,zCbCmGCQgyBEZueTS",zCbCmGCQgyBEZueTS,,KDHbktbpvGdPYsfm2,XyyJSA3kkuWGyzLDS,6wPt7SHGPMGDdeyFn,2021-05-04T22:27:55Z
3BuJRsQsTtN8oZQsg,0,2,2021-05-07T16:37:15Z,,YfQDEPyj2WDeFJ6kt,YfQDEPyj2WDeFJ6kt,,jGWe7kCE286MC3jzk,LPt6AgX8z5FGk4SN4,6wPt7SHGPMGDdeyFn,2021-05-07T16:35:12Z
L7HQFLPMzSksZLqun,0,3,,,WQ8PnuT8ohygo5tcr,,,bg6jnxCdsBRNRWKbY,ngH7PvvkzcMhWedsw,6wPt7SHGPMGDdeyFn,2021-05-07T16:37:36Z
