_id,index,name,displayName,startTimeAt,durationInSeconds,roundId,gameId,createdAt,data.log
tB2R98a4HMuRtAvqi,0,selection,Selection,2021-07-22T22:32:58Z,180,tDW3kYC849oe8yrk3,55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-22T22:32:58.631Z""}"
2nGt9TJCATqJn9bWY,1,feedback,Feedback,2021-07-22T22:34:26Z,5,tDW3kYC849oe8yrk3,55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-22T22:34:26.707Z""}"
Ly82zCAGYwfrPpW65,2,selection,Selection,2021-07-22T22:34:32Z,180,co6Lk7BwJPtQtiDsB,55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-22T22:34:32.608Z""}"
9SuekEdoNEaMbJdyH,3,feedback,Feedback,2021-07-22T22:35:05Z,5,co6Lk7BwJPtQtiDsB,55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-22T22:35:05.466Z""}"
W9b9it6daYJN958qJ,4,selection,Selection,2021-07-22T22:35:11Z,180,xm5jSyzW2pt6YKM8i,55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-22T22:35:11.588Z""}"
bWh84hcyGymXLPzSk,5,feedback,Feedback,2021-07-22T22:35:51Z,5,xm5jSyzW2pt6YKM8i,55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-22T22:35:50.799Z""}"
DP3oGq6YN2N9FmdmW,6,selection,Selection,2021-07-22T22:35:56Z,180,38dWhMZNuruh7WHXK,55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-22T22:35:56.576Z""}"
6FQsKPEC7RArEyaFo,7,feedback,Feedback,2021-07-22T22:37:02Z,5,38dWhMZNuruh7WHXK,55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-22T22:37:02.495Z""}"
JizuoWqGDy6JvtHxJ,8,selection,Selection,2021-07-22T22:37:08Z,180,HxFdyWWCSfRofC9TY,55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-22T22:37:08.581Z""}"
6rczRMAg3DNqP3G4P,9,feedback,Feedback,2021-07-22T22:38:04Z,5,HxFdyWWCSfRofC9TY,55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-22T22:38:03.739Z""}"
wTxmcnbjHxFJeQaCh,10,selection,Selection,2021-07-22T22:38:09Z,180,4oedsznjRit93Ta9M,55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-07-22T22:38:09.576Z""}"
fptgj5ojFaBoM7giq,11,feedback,Feedback,2021-07-22T22:38:38Z,5,4oedsznjRit93Ta9M,55uXKbqaShw7M2wCX,2021-07-22T22:32:55Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-07-22T22:38:38.453Z""}"
