_id,playerId,gameId,createdAt,data.age,data.gender,data.language,data.raceWhite,data.raceBlack,data.raceAsian,data.raceNative,data.raceIslander,data.raceHispanic,data.education,data.correctness,data.human,data.workedWell,data.fair,data.chatUseful,data.feedback,data.time
X464zxMkstFw63oyW,5TRGDDvFoSqdFxy6z,,2022-03-31T19:02:22Z,26,male,English,true,,,,,,bachelor,yes,,,,,,
k3fgDseagkWnDDGAS,5WJuxLfe5niSaBPCs,,2022-03-31T19:02:47Z,19,Female,English,,,true,,,,someCollege,yes,no,stronglyDisagree,,,,
qFS4QzhFF2Ka8z8e6,zG8KbzT93cabrhpQX,,2022-03-31T19:02:48Z,24,female,english,,true,,,,,bachelor,,,,,,,
QMwybTQr4ncpiTsao,BZ33Z3ckuTZqkvWLp,,2022-03-31T19:02:53Z,29,Female,English,true,,,,,,someCollege,yes,yes,neutral,yes,n/a,n/a,n/a
qxQBBWsRbSq6uQiTJ,pGRgN7WFuz6Kye7gw,,2022-03-31T19:03:20Z,32,F,English,,true,,,,,someCollege,yes,no,stronglyDisagree,I did not play,No,No,No
YS9ZBT94chZTQwjaz,bZN5e6x6KQmBGcLPS,,2022-03-31T19:03:30Z,33,female,english,,true,,,,,bachelor,yes,yes,stronglyAgree,No idea,No idea,No idea,No idea
HdgvCG2nrkTgjqQ26,eQEGsPdG5J5N7ShbR,,2022-03-31T19:03:39Z,59,male,English,true,,,,,,highSchool,yes,no,neutral,I am not sure what the pay is,n/a,My group had 5/6 members then the task was curtailed due to low interest,n/a
nHyzJEBnuEpD8mBro,wY4Ss8z9GxTar8DXx,,2022-03-31T19:04:36Z,34,female,english,true,,,,,,bachelor,yes,yes,neutral,yes,"I was unable to use the chat feature as only 5/6 participants made it to the Lobby, but from the instructions it looked very easy to use.",Just disappointed I did not get to participate properly as I was looking forward to doing it,n/a
RkseGve7pLSr9oHZ3,TKkheuqivmSM2HBSg,,2022-03-31T19:05:37Z,31,Male,English,true,true,,true,false,,bachelor,yes,yes,neutral,yes,game never started. Please invite me to play again.,no. Please invite me to play again.,Game never started. Please invite me to play again.
hnsAL25q93mGh47N9,CKmbr6eMnv33bKWMQ,,2022-03-31T19:17:57Z,26,male,English,true,,,,,,bachelor,yes,,,,,,
AL9Cc3jAxNRJC2LN5,QCvF7iz9EZHKGgPFA,,2022-03-31T19:30:43Z,30,Male,Arabic,true,,,,,,bachelor,yes,yes,neutral,"The pay is just fair if there was enough people, but a little more would be great! Contact me if you want my participation again. I will gladly do it since I am getting paid for almost nothing.","I don't know, sadly I didn't get to try it.","I am not sure why there were no participates, but that's really unfortunate.",N/A
qR9PYnvdZEYbpLKDX,SNKZcpXznSxMQbtXL,zviCQXNM4xWoYTmoY,2022-03-31T19:32:09Z,21,Female,English,,,true,,,,master,yes,yes,stronglyAgree,Yes,Yes,No,Yes
AFfv4bYMnX2wbLNq4,XBjhcfLtesgASpEW2,zviCQXNM4xWoYTmoY,2022-03-31T19:32:15Z,28,Female,English,true,,,,,,bachelor,yes,yes,stronglyAgree,Yes.,Definitely. ,N/A,More than.
GeQPSwi7bD6Q4kQjf,8qpTxRSMtKdunwcqh,zviCQXNM4xWoYTmoY,2022-03-31T19:32:26Z,31,Female,English,true,,,,,,bachelor,yes,yes,stronglyAgree,"Yes, very fair",Yup!,No,Definitely
aZLhXFWH3imwsPLmH,xzEFcLxSaz7ZmqRw6,zviCQXNM4xWoYTmoY,2022-03-31T19:32:26Z,42,Female,English,true,,,,,,bachelor,yes,yes,stronglyAgree,Yes,Very easy,"no problems at all, it was actually quite fun",More than enough
ndhem9TkoaviyMvQX,5J7qybS6Kinu3Cgrf,zviCQXNM4xWoYTmoY,2022-03-31T19:33:21Z,39,Male,English,true,,,,,,bachelor,yes,yes,stronglyAgree,"The pay was fair, given the speaker had the hardest job",Very easy to use and chat with the speaker and other listeners,"No problems, great team, with a good spirit and thought the speaker described everything amazingly well.","Plenty of time, particularly as the rounds progress and you start to name the pictures. It becomes much quicker and easier."
RtaLsdMxM32bsCchC,Q5Bs5Daz3vBi66sSW,zviCQXNM4xWoYTmoY,2022-03-31T19:33:27Z,26,Non-binary,English,true,,,,,,bachelor,yes,yes,stronglyAgree,Yes,Yes,"Sometimes it would say a small number of listeners had selected correctly, but all of the little pictures assigned to the players were displaying on the correct tangram, so I thought it should say 5/5 on those occasions? Sometimes it did say 5/5 but looked the same as when it said 3/5 or whatever",Yes
JHcvWgnvx95YFC2Sd,dscYmyM8wN5o3feju,mFydM2BjifgM589Kq,2022-03-31T20:12:49Z,38,Female,English,true,,,,,,bachelor,yes,yes,stronglyAgree,Yes,Yes,No,Yes
F5jnfSHM295PvHiHN,zY3h7BkB5TkBGcwM4,mFydM2BjifgM589Kq,2022-03-31T20:12:57Z,43,Male,,true,,,,,,highSchool,yes,yes,stronglyAgree,Maybe it was a lot of work though,Yes,No,Yes too much to be honest
9PupTGmaDFMRrftdJ,RCtT8PJsDnFWBE44N,mFydM2BjifgM589Kq,2022-03-31T20:13:01Z,53,Female,English,true,,,,,,bachelor,yes,yes,stronglyAgree,It's ok,yes,It was brilliant observing how we started off clueless and then we excelled together.,yes
s8fqYh7DNqjuhZS8d,Dtqy4LrocKduvjQAJ,mFydM2BjifgM589Kq,2022-03-31T20:13:27Z,57,Female,English,true,,,,,,someCollege,yes,yes,agree,yes it was fair,yes easy to use,no,yes had enough time although was quite stressful at the beginning
kZNTwkHc2cdxeXjDm,fxPohWWFgMPKLfCje,mFydM2BjifgM589Kq,2022-03-31T20:13:44Z,66,Male,English,true,,,,,,someCollege,yes,yes,neutral,Yes,Yes,"I couldn't change my mind, I was stuck with my first choice, even if the speaker retracted a clue.",Yes
dfcTdZXvAbhWQ9cc8,xgiHduQDPM8Em4NYq,mFydM2BjifgM589Kq,2022-03-31T20:14:16Z,49,F,English,true,,,,,,someCollege,yes,yes,neutral,"Yes, it was people taking way too long that made it longer",Yes,"Yes, on one of the rounds I couldn't select a figure as it was still stuck on the last one I chose from round before so we had to let the timer run down",More than enough
3CYqCw8ArnnLtoRMw,FrgvTQMyYw2PtB4FM,uvTWfZnixQs6nHoYg,2022-03-31T20:16:41Z,35,Male,English,true,,,,,,master,yes,no,agree,Yes,Yes,No,Yes
TLZMNmHQh8zsvu8in,Yt4E9ypgJohLYb5Fi,uvTWfZnixQs6nHoYg,2022-03-31T20:17:04Z,23,Female,English,true,,,,,,bachelor,yes,yes,agree,yeah it was just a lot longer than expected,yes,all good,more than
v2sLQtZTeA8cfyTBF,9wh7emuJZwNAA8x2Y,uvTWfZnixQs6nHoYg,2022-03-31T20:17:07Z,33,Male,English,true,,,,,,bachelor,yes,yes,stronglyAgree,I thought you were fair but I think you underestimated the time it took. Please add a couple dollars bonus because it went over the estimate,Yup.,"Nope, everything went smoothly",Yes.
