_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.nParticipants,data.tangramCount,data.scoreOption,data.chat,data.pictures,data.timeOut,data.tangramURLs,data.roleList,data.name,data.avatar,data.nameColor,data.bonus,data.role,data.clicked,data.exitTimeoutId,data.exited
Yt4E9ypgJohLYb5Fi,,2022-03-31T18:51:36Z,,,ExitSurvey,2022-03-31T20:15:58Z,finished,,,,2022-03-31T18:46:54Z,6,12,matter,anyone,different,0,"/experiment/tangram_D.png,/experiment/tangram_A.png,/experiment/tangram_G.png,/experiment/tangram_F.png,/experiment/tangram_I.png,/experiment/tangram_J.png,/experiment/tangram_L.png,/experiment/tangram_E.png,/experiment/tangram_B.png,/experiment/tangram_H.png,/experiment/tangram_K.png,/experiment/tangram_C.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Bavi,/avatars/jdenticon/Kaylee,#A83F38,2.6400000000000015,listener,/experiment/tangram_K.png,,
SNKZcpXznSxMQbtXL,,2022-03-31T18:50:09Z,,,ExitSurvey,2022-03-31T19:31:42Z,finished,,,,2022-03-31T18:46:54Z,6,12,matter,anyone,different,0,"/experiment/tangram_C.png,/experiment/tangram_D.png,/experiment/tangram_G.png,/experiment/tangram_H.png,/experiment/tangram_F.png,/experiment/tangram_B.png,/experiment/tangram_E.png,/experiment/tangram_K.png,/experiment/tangram_L.png,/experiment/tangram_J.png,/experiment/tangram_I.png,/experiment/tangram_A.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Hera,/avatars/jdenticon/Riley,#997E32,2.8800000000000017,listener,/experiment/tangram_C.png,,
A3WjK6mYe9hWymanm,,2022-03-31T18:53:02Z,,,ExitSurvey,2022-03-31T20:15:58Z,finished,,,,2022-03-31T18:47:01Z,6,12,matter,anyone,different,0,"/experiment/tangram_D.png,/experiment/tangram_E.png,/experiment/tangram_K.png,/experiment/tangram_G.png,/experiment/tangram_L.png,/experiment/tangram_B.png,/experiment/tangram_A.png,/experiment/tangram_J.png,/experiment/tangram_C.png,/experiment/tangram_F.png,/experiment/tangram_H.png,/experiment/tangram_I.png","speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker",Hera,/avatars/jdenticon/Riley,#997E32,2.4720000000000013,speaker,false,,
XBjhcfLtesgASpEW2,,2022-03-31T18:51:05Z,,,ExitSurvey,2022-03-31T19:31:42Z,finished,,,,2022-03-31T18:47:02Z,6,12,matter,anyone,different,0,"/experiment/tangram_K.png,/experiment/tangram_B.png,/experiment/tangram_D.png,/experiment/tangram_A.png,/experiment/tangram_H.png,/experiment/tangram_L.png,/experiment/tangram_G.png,/experiment/tangram_J.png,/experiment/tangram_I.png,/experiment/tangram_E.png,/experiment/tangram_C.png,/experiment/tangram_F.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Zuda,/avatars/jdenticon/Mason,#BD75D1,2.6800000000000015,listener,/experiment/tangram_C.png,,
xzEFcLxSaz7ZmqRw6,,2022-03-31T18:51:13Z,,,ExitSurvey,2022-03-31T19:31:42Z,finished,,,,2022-03-31T18:47:04Z,6,12,matter,anyone,different,0,"/experiment/tangram_B.png,/experiment/tangram_I.png,/experiment/tangram_H.png,/experiment/tangram_A.png,/experiment/tangram_K.png,/experiment/tangram_F.png,/experiment/tangram_C.png,/experiment/tangram_D.png,/experiment/tangram_J.png,/experiment/tangram_G.png,/experiment/tangram_E.png,/experiment/tangram_L.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Bavi,/avatars/jdenticon/Kaylee,#A83F38,2.8000000000000016,listener,/experiment/tangram_C.png,,
Q5Bs5Daz3vBi66sSW,,2022-03-31T18:50:25Z,,,ExitSurvey,2022-03-31T19:31:42Z,finished,,,,2022-03-31T18:47:04Z,6,12,matter,anyone,different,0,"/experiment/tangram_D.png,/experiment/tangram_A.png,/experiment/tangram_J.png,/experiment/tangram_I.png,/experiment/tangram_C.png,/experiment/tangram_E.png,/experiment/tangram_B.png,/experiment/tangram_K.png,/experiment/tangram_F.png,/experiment/tangram_G.png,/experiment/tangram_L.png,/experiment/tangram_H.png","speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker",Laju,/avatars/jdenticon/Katherine,#3D45B7,2.352000000000001,speaker,false,,
26CcB9PbDmhM35ZNP,,2022-03-31T18:51:30Z,,,ExitSurvey,2022-03-31T20:15:58Z,finished,,,,2022-03-31T18:47:07Z,6,12,matter,anyone,different,0,"/experiment/tangram_B.png,/experiment/tangram_I.png,/experiment/tangram_A.png,/experiment/tangram_L.png,/experiment/tangram_D.png,/experiment/tangram_F.png,/experiment/tangram_E.png,/experiment/tangram_H.png,/experiment/tangram_G.png,/experiment/tangram_J.png,/experiment/tangram_K.png,/experiment/tangram_C.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Repi,/avatars/jdenticon/Samuel,#8138A8,2.8000000000000016,listener,/experiment/tangram_K.png,,
eQEGsPdG5J5N7ShbR,,2022-03-31T18:58:06Z,,,"Sorry,ExitSurvey",2022-03-31T19:01:43Z,gameLobbyTimedOut,,,,2022-03-31T18:47:08Z,6,12,matter,anyone,different,0,,,,,,,,,,
5J7qybS6Kinu3Cgrf,,2022-03-31T18:51:11Z,,,ExitSurvey,2022-03-31T19:31:42Z,finished,,,,2022-03-31T18:47:10Z,6,12,matter,anyone,different,0,"/experiment/tangram_F.png,/experiment/tangram_H.png,/experiment/tangram_D.png,/experiment/tangram_E.png,/experiment/tangram_L.png,/experiment/tangram_G.png,/experiment/tangram_C.png,/experiment/tangram_B.png,/experiment/tangram_I.png,/experiment/tangram_K.png,/experiment/tangram_J.png,/experiment/tangram_A.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener",Repi,/avatars/jdenticon/Samuel,#8138A8,2.8400000000000016,listener,/experiment/tangram_C.png,,
rCpFYLfAwjnAvo6if,,,,,,2022-03-31T19:01:43Z,gameLobbyTimedOut,,,,2022-03-31T18:47:12Z,,,,,,,,,,,,,,,,
