_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
mbYrGibyMgokBrJ8A,1,simple,true,2022-07-13T19:18:07Z,2022-07-13T20:12:10Z,finished,,xKTsk28qPp6F5oEnP,2022-07-13T19:18:02Z,
5xzudkdN42rFsi2np,2,simple,true,2022-07-13T19:18:08Z,2022-07-13T20:55:25Z,finished,,KJkKoLDwPyen6HS2o,2022-07-13T19:18:04Z,
bJb4bcsvmSBCHBhfA,3,simple,true,2022-07-13T19:18:09Z,2022-07-13T19:28:07Z,finished,,F7TzLmK8ummyA8qMS,2022-07-13T19:18:04Z,
SpAu3BWAFwFDgzg6w,4,simple,true,2022-07-13T19:18:09Z,2022-07-13T20:39:14Z,finished,,CeggQaQu28iwjnF6v,2022-07-13T19:18:05Z,
A5mbXuoT5WjzhaBs2,5,simple,true,2022-07-13T19:18:10Z,2022-07-13T19:35:48Z,finished,,dTYpNXe44h99roXHF,2022-07-13T19:18:05Z,
LbZCjHqXWpH3wJuk8,6,simple,false,2022-07-13T19:18:10Z,,cancelled,,ewL5GgDmD2uzPQ6Am,2022-07-13T19:18:06Z,
FBnSPvdHH3DEemFEM,7,simple,true,2022-07-13T22:39:50Z,2022-07-13T23:28:43Z,finished,,smgCs6K8tdLKGGHSp,2022-07-13T22:39:30Z,
ao7qZeHv3zQ5n77na,8,simple,true,2022-07-13T22:39:43Z,2022-07-14T00:33:30Z,finished,,SRBofppfmKZ4dhpv2,2022-07-13T22:39:31Z,
TKNgnpCvfGfSxnKP4,9,simple,true,2022-07-13T22:39:43Z,2022-07-14T00:14:52Z,finished,,ySXtT2jt2GREwjvGt,2022-07-13T22:39:31Z,
zc6mQZYqNzeC9CSKC,10,simple,true,2022-07-13T22:39:40Z,2022-07-14T00:19:57Z,finished,,y8EQv9bh29FEwLNLN,2022-07-13T22:39:31Z,
tPzhXpBTYXdeFaTc5,11,simple,true,2022-07-13T22:39:39Z,2022-07-13T23:01:06Z,finished,,T4sNfPvu3CgG9ddsM,2022-07-13T22:39:32Z,
iB3EgqMYt8iLzn48e,12,simple,true,2022-07-13T22:39:39Z,2022-07-13T23:17:28Z,finished,,TY9mhHQpa4R5Q5K6H,2022-07-13T22:39:32Z,
gXXzToWBKhq4BNJmf,13,simple,true,2022-07-13T22:39:38Z,2022-07-13T23:57:21Z,finished,,nXrmexCXGjupFQApH,2022-07-13T22:39:32Z,
8p5ojPXCe8wuKQ2nc,14,simple,true,2022-07-13T22:39:38Z,2022-07-14T00:18:20Z,finished,,HEt6rKsQYxWNMivtW,2022-07-13T22:39:32Z,
vBAKWApjLeSQMMnY7,15,simple,true,2022-07-13T22:39:37Z,2022-07-13T23:52:45Z,finished,,DYwdcHHmdgpLTuJ3S,2022-07-13T22:39:32Z,
MsqggyHCd8igkrMTT,16,simple,true,2022-07-13T22:39:41Z,2022-07-14T02:42:55Z,finished,,Xxbn8HP3TFk6DH7H5,2022-07-13T22:39:33Z,
GNc5eZqEWNrGfzrZd,17,simple,true,2022-07-13T22:39:41Z,2022-07-13T23:07:30Z,finished,,kDEXgkMZJGPyc6u4o,2022-07-13T22:39:33Z,
rQ5Z2JDJtADvDLRuz,18,simple,true,2022-07-13T22:39:41Z,2022-07-14T00:17:26Z,finished,,WLGtWa6XCcSnB2FtQ,2022-07-13T22:39:33Z,
7xfJa5D5DZSnqLzJt,19,simple,true,2022-07-13T22:39:43Z,2022-07-14T00:14:13Z,finished,,MEJ8y7jRW4947MPrH,2022-07-13T22:39:33Z,
68yR7F2TLrWHRSoQF,20,simple,true,2022-07-13T22:39:45Z,2022-07-13T23:11:25Z,finished,,efd4n9xB4qEuTG5zQ,2022-07-13T22:39:34Z,
xYtwGuDyTnRftbvQd,21,simple,true,2022-07-13T22:39:45Z,2022-07-14T02:42:09Z,finished,,FDXJ7stbQxKCkcKzv,2022-07-13T22:39:34Z,
a4QxE9Bd96TSeQLdj,22,simple,true,2022-07-13T22:39:44Z,2022-07-13T23:06:48Z,finished,,bGqJp239xWu59Eaiz,2022-07-13T22:39:34Z,
NtjaKYx3rbeqgq7Fs,23,simple,true,2022-07-13T22:39:46Z,2022-07-14T00:21:15Z,finished,,Ho7KBcTdiQgiorfmE,2022-07-13T22:39:34Z,
Xur94B3rFXPekQemb,24,simple,true,2022-07-13T22:39:50Z,2022-07-14T02:40:52Z,finished,,N2pedwYcLcCvkJRjm,2022-07-13T22:39:34Z,
oiSAKEHpsbsnJuDdG,25,simple,true,2022-07-13T22:39:50Z,2022-07-14T02:55:56Z,finished,,8G6wdbdRa2nmYoNxk,2022-07-13T22:39:35Z,
wbCvtc6LMBWf8Zq27,26,simple,true,2022-07-13T22:39:49Z,2022-07-14T00:48:34Z,finished,,Tg2JqdT9ugXdkqWsC,2022-07-13T22:39:35Z,
