_id,batchId,playerId,stageId,roundId,gameId,createdAt,submittedAt
tXskLurKui3cyjvLs,mbYrGibyMgokBrJ8A,35ggG3QwSot8oDu4W,SBwYQD7WwNeyvvzEr,RGbhxyCZytvMZbzwv,xKTsk28qPp6F5oEnP,2022-07-13T19:24:45Z,2022-07-13T19:25:28Z
pjEFj2vribaZc6YRP,mbYrGibyMgokBrJ8A,FrnhKwZFKX6ouvQGf,SBwYQD7WwNeyvvzEr,RGbhxyCZytvMZbzwv,xKTsk28qPp6F5oEnP,2022-07-13T19:24:45Z,2022-07-13T19:25:28Z
b6pPRvw7K2bM7zkcY,mbYrGibyMgokBrJ8A,KwHwhPvN69cWkqxyg,SBwYQD7WwNeyvvzEr,RGbhxyCZytvMZbzwv,xKTsk28qPp6F5oEnP,2022-07-13T19:24:45Z,2022-07-13T19:25:49Z
fbFwTRnikWkKnAwL6,mbYrGibyMgokBrJ8A,bitL2iEkzb7jxizu2,SBwYQD7WwNeyvvzEr,RGbhxyCZytvMZbzwv,xKTsk28qPp6F5oEnP,2022-07-13T19:24:45Z,2022-07-13T19:26:24Z
BL32qjZctjQHBSWNH,mbYrGibyMgokBrJ8A,iMZnMufnBmxwv8urG,SBwYQD7WwNeyvvzEr,RGbhxyCZytvMZbzwv,xKTsk28qPp6F5oEnP,2022-07-13T19:24:45Z,2022-07-13T19:26:30Z
bJSr9Lep6NoiSRndo,mbYrGibyMgokBrJ8A,qSM4zbteaqvtmuoua,SBwYQD7WwNeyvvzEr,RGbhxyCZytvMZbzwv,xKTsk28qPp6F5oEnP,2022-07-13T19:24:45Z,2022-07-13T19:26:35Z
L6B7KXjw5vvitnxMc,mbYrGibyMgokBrJ8A,35ggG3QwSot8oDu4W,jY92vE2nKpG6eT8QQ,RGbhxyCZytvMZbzwv,xKTsk28qPp6F5oEnP,2022-07-13T19:24:45Z,
W6WenwBgBPNnbDFPQ,mbYrGibyMgokBrJ8A,FrnhKwZFKX6ouvQGf,jY92vE2nKpG6eT8QQ,RGbhxyCZytvMZbzwv,xKTsk28qPp6F5oEnP,2022-07-13T19:24:45Z,
qpmgdW6LieJZyMSkp,mbYrGibyMgokBrJ8A,KwHwhPvN69cWkqxyg,jY92vE2nKpG6eT8QQ,RGbhxyCZytvMZbzwv,xKTsk28qPp6F5oEnP,2022-07-13T19:24:45Z,
z3GnXvXu3keizwFiz,mbYrGibyMgokBrJ8A,bitL2iEkzb7jxizu2,jY92vE2nKpG6eT8QQ,RGbhxyCZytvMZbzwv,xKTsk28qPp6F5oEnP,2022-07-13T19:24:45Z,
