_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
LFaGJt88wfAEo6KhQ,1,simple,true,2022-08-10T16:23:55Z,2022-08-10T16:35:19Z,finished,,gpw48EoKqfanW2sNN,2022-08-10T16:23:32Z,2022-08-10T18:12:44Z
TxAHbpyrrommazeeo,2,simple,true,2022-08-10T16:23:56Z,2022-08-10T18:08:31Z,finished,,rTdgorcZpRzAdoR3G,2022-08-10T16:23:34Z,2022-08-10T18:12:44Z
KS3f2R5ksfdpRWXqX,3,simple,true,2022-08-10T16:23:57Z,2022-08-10T17:48:35Z,finished,,GpCRWihFk2vrhfrtT,2022-08-10T16:23:34Z,2022-08-10T18:12:45Z
myaXt9wqkYWbaqyMX,4,simple,true,2022-08-10T16:23:58Z,2022-08-10T18:06:02Z,finished,,w3bfDagm2C9bQ6dYn,2022-08-10T16:23:35Z,2022-08-10T18:12:45Z
t692J7W2p8hf5hTd5,5,simple,true,2022-08-10T16:23:58Z,2022-08-10T16:51:52Z,finished,,pGgxscgC8Lx4wZYZM,2022-08-10T16:23:43Z,2022-08-10T18:12:46Z
PPxQvXjA6HPWtsdqo,6,simple,true,2022-08-10T16:23:59Z,2022-08-10T17:12:00Z,finished,,fkBo9zXFjZLSSQirs,2022-08-10T16:23:45Z,2022-08-10T18:12:46Z
xdJ6mE7f6NMhGtYkB,7,simple,true,2022-08-10T16:24:00Z,2022-08-10T17:55:58Z,finished,,CqmjXkAv5uAAvdpcX,2022-08-10T16:23:47Z,2022-08-10T18:12:47Z
stgkQwn6ASmBDwa7n,8,simple,true,2022-08-10T18:13:41Z,2022-08-10T19:04:42Z,finished,,AbzTTYybnmkx6cgau,2022-08-10T18:12:56Z,
EySrgzi4sLgaNJzja,9,simple,true,2022-08-10T18:13:40Z,2022-08-10T19:11:40Z,finished,,s4A92fwc4aRzczukm,2022-08-10T18:13:03Z,
jnocFTkGoaHkpk9jp,10,simple,true,2022-08-10T18:13:40Z,2022-08-10T20:27:34Z,finished,,8vDbP6xD36MAFSAFC,2022-08-10T18:13:04Z,
GYpYiWQwD3RnvGC7J,11,simple,true,2022-08-10T18:13:40Z,2022-08-10T19:10:43Z,finished,,7zkybkZW5gtw5mTeD,2022-08-10T18:13:04Z,
isxDCacxTQ9F62LRX,12,simple,true,2022-08-10T18:13:39Z,2022-08-10T20:19:34Z,finished,,tm7Tiw4gsGNvnhmQA,2022-08-10T18:13:07Z,
ir8Jb6Gyph3o2fiEo,13,simple,true,2022-08-10T18:13:39Z,2022-08-10T19:18:10Z,finished,,Ypj43kYB5o3jv8FR8,2022-08-10T18:13:08Z,
u9adDwNPQTLAftQ5J,14,simple,true,2022-08-10T18:13:39Z,2022-08-10T18:57:29Z,finished,,muPEnv7RizCLTXEnN,2022-08-10T18:13:09Z,
KJ4n4rpFdLS7mGkbk,15,simple,true,2022-08-10T18:13:39Z,2022-08-10T19:59:41Z,finished,,HQFFuFvRujP3TicZT,2022-08-10T18:13:10Z,
g8sDWu8xCXMxMYK2Q,16,simple,true,2022-08-10T18:13:38Z,2022-08-10T19:54:47Z,finished,,FdsX4xEWYboEy83kj,2022-08-10T18:13:11Z,
dMgyAdYsBfBT8iHLx,17,simple,true,2022-08-10T18:13:38Z,2022-08-10T19:56:01Z,finished,,Gu5uhEgGqDSY6SNF6,2022-08-10T18:13:11Z,
25MuATC66Ck6ac9As,18,simple,true,2022-08-10T18:13:38Z,2022-08-10T18:29:51Z,finished,,pH8mhQvAoD85Z6q6n,2022-08-10T18:13:12Z,
mX5MHMTXdXRXAYLYb,19,simple,true,2022-08-10T18:13:38Z,2022-08-10T19:08:36Z,finished,,NAkMrdmKDKLrGoWap,2022-08-10T18:13:13Z,
K5NqWwKeMgotZTktB,20,simple,true,2022-08-10T18:13:37Z,2022-08-10T22:02:58Z,finished,,QBJ6vcNGrHyjEfXNt,2022-08-10T18:13:14Z,
RDwhEdeEWh9hh6Zjn,21,simple,true,2022-08-10T18:13:37Z,2022-08-10T21:48:54Z,finished,,5YemzfWzaNvobjKS2,2022-08-10T18:13:15Z,
gCkucr5ySRh8mr6Xi,22,simple,true,2022-08-10T18:13:37Z,2022-08-10T19:24:06Z,finished,,b7jYdDxcESmYzG3FL,2022-08-10T18:13:15Z,
JiLtQL3qxWuCphDoW,23,simple,true,2022-08-10T18:13:37Z,2022-08-10T18:36:32Z,finished,,vHYac2byFS5hGtkEh,2022-08-10T18:13:16Z,
jgyB7EyMa2D7czgoh,24,simple,true,2022-08-10T18:13:36Z,2022-08-10T19:13:57Z,finished,,ukPJMaDTj4aSi4RBo,2022-08-10T18:13:17Z,
GJjfvKHD5iZFK7e2a,25,simple,true,2022-08-10T18:13:36Z,2022-08-10T19:36:26Z,finished,,udpHCXjyeQo7jrdMv,2022-08-10T18:13:30Z,
oPhGXm5JqEPPPKPmN,26,simple,true,2022-08-10T18:13:42Z,2022-08-10T19:18:55Z,finished,,JucyB8SNpQcjCXB3W,2022-08-10T18:13:31Z,
qJFmX22bFA9Jmqed8,27,simple,true,2022-08-10T18:13:34Z,2022-08-10T20:45:23Z,finished,,RDrQEugfWveQpLtPg,2022-08-10T18:13:31Z,
