_id,name,required,description,type,min,max,createdAt,archivedAt
pNZGRBz3rsNbFXeqt,playerCount,true,The Number of players participating in the given game.,Integer,1,,2022-09-26T19:06:58Z,
kJddTH8X4Y6Df7SPA,selectionDuration,true,how many seconds do participants have to complete a tangram selection trial,String,,,2022-09-26T19:32:33Z,
oTmtc6KmQb77CaDTC,submitCode,true,code for submission to prolific/mturk,String,,,2022-09-26T19:32:33Z,
uWvpQqxyNi8Dz6CSn,rounds,false,number of rounds,Integer,1,,2022-09-26T19:32:33Z,
tJ642Av4buu8Q5w73,feedbackDuration,false,how many seconds the feedback is displayed for,Integer,1,100,2022-09-26T19:32:33Z,
ZkXeabrJhX4KfX8yj,listenerBonus,false,how much a listener is paid per correct answer (in cents),Integer,1,10,2022-09-26T19:32:33Z,
b5miCkhM6uwYKF2Sn,speakerBonus,false,how much bonus the speaker gets *per listener* who gets it right,Integer,0,10,2022-09-26T19:32:33Z,2021-03-31T21:23:37Z
PbMKWFHGq7qHwK6NL,rotateSpeaker,false,is there one speaker for the whole game or does it rotate,Boolean,2,,2022-09-26T19:32:33Z,
ckLfENK7MBJFvZcvw,feedback,false,how much is shown,String,1,20,2022-09-26T19:32:33Z,
SBokuiYg3qFErBaAH,chat,false,"do the listeners get real chat, or are they limited",String,1,10,2022-09-26T19:32:33Z,
4qEZYDLs7mx2hs7zk,rotateInterval,false,"how many trials a speaker gets at a time, default 12",Integer,1,100,2022-09-26T19:32:33Z,
