_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.nParticipants,data.tangramCount,data.scoreOption,data.chat,data.pictures,data.timeOut,data.tangramURLs,data.name,data.avatar,data.nameColor,data.bonus,data.role,data.clicked,data.exitTimeoutId,data.exited
HHqGTb33iPKK3i9wQ,,2022-10-05T17:42:49Z,,,ExitSurvey,2022-10-05T18:41:58Z,finished,,,,2022-10-05T17:38:32Z,6,12,matter,anyone,different,0,"/experiment/tangram_F.png,/experiment/tangram_E.png,/experiment/tangram_C.png,/experiment/tangram_J.png,/experiment/tangram_I.png,/experiment/tangram_L.png,/experiment/tangram_B.png,/experiment/tangram_H.png,/experiment/tangram_D.png,/experiment/tangram_G.png,/experiment/tangram_A.png,/experiment/tangram_K.png",Repi,/avatars/jdenticon/Samuel,#8138A8,2.000000000000001,listener,/experiment/tangram_L.png,,
EyeXbg7iiPMTGKqLY,,2022-10-05T17:44:39Z,,,,2022-10-05T19:11:18Z,custom,"Oops, it looks like there was a connection problem, and you couldn't finish the experiment!",,,2022-10-05T17:38:35Z,6,12,matter,anyone,different,0,"/experiment/tangram_K.png,/experiment/tangram_B.png,/experiment/tangram_E.png,/experiment/tangram_A.png,/experiment/tangram_I.png,/experiment/tangram_J.png,/experiment/tangram_L.png,/experiment/tangram_H.png,/experiment/tangram_C.png,/experiment/tangram_G.png,/experiment/tangram_D.png,/experiment/tangram_F.png",Minu,/avatars/jdenticon/Alaina,#7ACC66,1.1200000000000003,listener,/experiment/tangram_D.png,57114,true
PRastQwv3qZGpqyGD,,2022-10-05T17:44:17Z,,,,2022-10-05T17:47:41Z,custom,"Oops, it looks like there was a connection problem, and you couldn't finish the experiment!",,,2022-10-05T17:38:35Z,6,12,matter,anyone,different,0,"/experiment/tangram_C.png,/experiment/tangram_E.png,/experiment/tangram_G.png,/experiment/tangram_J.png,/experiment/tangram_B.png,/experiment/tangram_I.png,/experiment/tangram_F.png,/experiment/tangram_A.png,/experiment/tangram_D.png,/experiment/tangram_L.png,/experiment/tangram_K.png,/experiment/tangram_H.png",Hera,/avatars/jdenticon/Riley,#997E32,1.0966666666666671,speaker,false,11111,true
hWLbCy7ApJfJBtYmh,,2022-10-05T17:48:27Z,,,ExitSurvey,2022-10-05T19:04:41Z,finished,,,,2022-10-05T17:38:37Z,6,12,matter,anyone,different,0,"/experiment/tangram_A.png,/experiment/tangram_I.png,/experiment/tangram_D.png,/experiment/tangram_B.png,/experiment/tangram_H.png,/experiment/tangram_K.png,/experiment/tangram_F.png,/experiment/tangram_J.png,/experiment/tangram_G.png,/experiment/tangram_L.png,/experiment/tangram_C.png,/experiment/tangram_E.png",Laju,/avatars/jdenticon/Katherine,#3D45B7,2.2720000000000016,speaker,false,,
RvmR32F5pkjGDKbX6,,2022-10-05T17:43:15Z,,,ExitSurvey,2022-10-05T18:58:17Z,finished,,,,2022-10-05T17:38:38Z,6,12,matter,anyone,different,0,"/experiment/tangram_E.png,/experiment/tangram_C.png,/experiment/tangram_L.png,/experiment/tangram_J.png,/experiment/tangram_I.png,/experiment/tangram_F.png,/experiment/tangram_K.png,/experiment/tangram_A.png,/experiment/tangram_H.png,/experiment/tangram_D.png,/experiment/tangram_G.png,/experiment/tangram_B.png",Hera,/avatars/jdenticon/Riley,#997E32,2.040000000000001,listener,/experiment/tangram_K.png,,
6dv6K8Q6C7Jm9oEpc,,2022-10-05T17:44:01Z,,,ExitSurvey,2022-10-05T18:58:17Z,finished,,,,2022-10-05T17:38:40Z,6,12,matter,anyone,different,0,"/experiment/tangram_C.png,/experiment/tangram_L.png,/experiment/tangram_D.png,/experiment/tangram_H.png,/experiment/tangram_I.png,/experiment/tangram_A.png,/experiment/tangram_K.png,/experiment/tangram_B.png,/experiment/tangram_F.png,/experiment/tangram_E.png,/experiment/tangram_J.png,/experiment/tangram_G.png",Repi,/avatars/jdenticon/Samuel,#8138A8,2.240000000000001,listener,/experiment/tangram_K.png,,
mMkdNCbkNosrcwQ6M,,2022-10-05T17:41:16Z,,,ExitSurvey,2022-10-05T18:41:58Z,finished,,,,2022-10-05T17:38:41Z,6,12,matter,anyone,different,0,"/experiment/tangram_J.png,/experiment/tangram_E.png,/experiment/tangram_A.png,/experiment/tangram_C.png,/experiment/tangram_B.png,/experiment/tangram_K.png,/experiment/tangram_I.png,/experiment/tangram_L.png,/experiment/tangram_H.png,/experiment/tangram_F.png,/experiment/tangram_D.png,/experiment/tangram_G.png",Hera,/avatars/jdenticon/Riley,#997E32,2.622000000000001,speaker,false,,
SXW77YEGhycPnoauT,,2022-10-05T17:41:04Z,,,ExitSurvey,2022-10-05T18:41:58Z,finished,,,,2022-10-05T17:38:42Z,6,12,matter,anyone,different,0,"/experiment/tangram_K.png,/experiment/tangram_F.png,/experiment/tangram_L.png,/experiment/tangram_D.png,/experiment/tangram_C.png,/experiment/tangram_J.png,/experiment/tangram_I.png,/experiment/tangram_G.png,/experiment/tangram_E.png,/experiment/tangram_B.png,/experiment/tangram_A.png,/experiment/tangram_H.png",Minu,/avatars/jdenticon/Alaina,#7ACC66,2.8800000000000017,listener,/experiment/tangram_K.png,,
w3HQi9k6Pqn3b8xcQ,,2022-10-05T17:41:03Z,,,"Sorry,ExitSurvey",2022-10-05T18:41:58Z,finished,"Oops, it looks like there was a connection problem, and you couldn't finish the experiment!",,,2022-10-05T17:38:43Z,6,12,matter,anyone,different,0,"/experiment/tangram_F.png,/experiment/tangram_B.png,/experiment/tangram_E.png,/experiment/tangram_I.png,/experiment/tangram_D.png,/experiment/tangram_G.png,/experiment/tangram_L.png,/experiment/tangram_C.png,/experiment/tangram_J.png,/experiment/tangram_K.png,/experiment/tangram_A.png,/experiment/tangram_H.png",Bavi,/avatars/jdenticon/Kaylee,#A83F38,0.39999999999999997,listener,false,18625,true
EvFdP2G2k6NiphcPW,,2022-10-05T17:45:52Z,,,"Sorry,ExitSurvey",2022-10-05T19:11:18Z,custom,"Oops, it looks like too many of your partners have disconnected, and you can't finish the experiment!",,,2022-10-05T17:38:47Z,6,12,matter,anyone,different,0,"/experiment/tangram_F.png,/experiment/tangram_K.png,/experiment/tangram_B.png,/experiment/tangram_H.png,/experiment/tangram_L.png,/experiment/tangram_J.png,/experiment/tangram_D.png,/experiment/tangram_A.png,/experiment/tangram_C.png,/experiment/tangram_E.png,/experiment/tangram_G.png,/experiment/tangram_I.png",Repi,/avatars/jdenticon/Samuel,#8138A8,1.0966666666666671,speaker,false,,
