_id,name,factorIds,createdAt,archivedAt
eSxyvYhcg3FA5k6yJ,Test,"xWQjpcmpuWmZXGA7P,pWeADdnYht6s2XmXy,8s4mWKpqFF83FP3X6,WPMyAs4AHQkRbejSw,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,hsiunZ8b68hKxbnPM",2022-09-26T19:32:33Z,2021-03-31T21:24:06Z
wh9j962q2Cje9yhMK,pilot,"xWQjpcmpuWmZXGA7P,pWeADdnYht6s2XmXy,8s4mWKpqFF83FP3X6,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,hsiunZ8b68hKxbnPM",2022-09-26T19:32:33Z,2021-03-31T20:01:42Z
9ERSm9JZyejgbSmga,Dyad,"xWQjpcmpuWmZXGA7Q,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,WPMyAs4AHQkRbejSw,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,hsiunZ8b68hKxbnPM",2022-09-26T19:32:33Z,2021-03-31T21:24:07Z
JacBJ3WcfDzu95Lr7,Quad,"xWQjpcmpuWmZXGA7R,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,WPMyAs4AHQkRbejSw,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,hsiunZ8b68hKxbnPM",2022-09-26T19:32:33Z,2021-03-31T21:24:07Z
LSCr85NTyduuPx8Dg,Pair,"xWQjpcmpuWmZXGA7Q,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ",2022-09-26T19:32:33Z,2021-05-04T21:26:50Z
Y3xERQq3dfzCHFsSG,Triad,"xWQjpcmpuWmZXGA7P,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ",2022-09-26T19:32:33Z,2021-05-04T21:26:50Z
FkQ5EfskB37Z64K4q,Four,"xWQjpcmpuWmZXGA7R,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ",2022-09-26T19:32:33Z,2021-05-04T21:26:51Z
5ersJkgnef3iprqDG,pairRotate,"xWQjpcmpuWmZXGA7Q,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,Hqzt4ft2eLqMjdZCN",2022-09-26T19:32:33Z,2022-07-13T18:09:30Z
RCwvFAPA98S2u65rF,quadRotate,"xWQjpcmpuWmZXGA7R,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,Hqzt4ft2eLqMjdZCN",2022-09-26T19:32:33Z,2022-09-26T18:34:50Z
J2EhHbCdF9Z6AwanA,trioRotate,"xWQjpcmpuWmZXGA7P,pWeADdnYht6s2XmXy,PhWBYRyqGv7hpZbKm,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,Hqzt4ft2eLqMjdZCN",2022-09-26T19:32:33Z,2022-09-26T18:34:49Z
9M8wXrfCmRyKWBE3e,test5,"Pcrt2kDc8zeyzPkSF,pWeADdnYht6s2XmXy,LMzjqBSyMLbrryc6X,WPMyAs4AHQkRbejSw,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,Hqzt4ft2eLqMjdZCN",2022-09-26T19:32:33Z,2022-09-26T18:34:48Z
3KTjhB4zNaZx5qDQt,testnoro,"xWQjpcmpuWmZXGA7Q,pWeADdnYht6s2XmXy,LMzjqBSyMLbrryc6X,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,SnZJEJE9tapiqzx6i",2022-09-26T19:32:33Z,2022-03-17T17:34:03Z
mEX3ykNZMjkYMNShD,6noRo,"gK2vDSr5Yc2vPhFxq,pWeADdnYht6s2XmXy,STrYPy3iToz6XDo9d,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,SnZJEJE9tapiqzx6i",2022-09-26T19:32:33Z,2022-09-26T18:34:47Z
niqDWhZxRyTskNQpS,3test,"xWQjpcmpuWmZXGA7P,pWeADdnYht6s2XmXy,LMzjqBSyMLbrryc6X,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,Hqzt4ft2eLqMjdZCN,owZenExB498es2QBn",2022-09-26T19:32:34Z,2022-07-01T23:16:14Z
tmfSeN4yW5CJfBkGe,3full,"xWQjpcmpuWmZXGA7P,pWeADdnYht6s2XmXy,STrYPy3iToz6XDo9d,bMLyzSZu2NMqPxMp3,XxGKfzAdshtarMJ8v,ivrbpviGCdXTDsEiZ,Hqzt4ft2eLqMjdZCN,gjMzeXEASNnNzEGyz",2022-09-26T19:32:34Z,2022-09-26T18:34:46Z
